pagina_slug,rol,sku,origen,src,bytes
bandeja-portacables,primaria,CT3111,3. BANDEJAS JPG/CT3111.jpg,/images/productos/bandeja-portacables.webp,43774
bandeja-portacables,variante,CT3011,3. BANDEJAS JPG/CT3011.jpg,/images/productos/bandeja-portacables-lisa-ct3011.webp,17550
bandeja-portacables,variante,CT3012,3. BANDEJAS JPG/CT3012.jpg,/images/productos/bandeja-portacables-lisa-ct3012.webp,23216
bandeja-portacables,variante,CT3112,3. BANDEJAS JPG/CT3112.jpg,/images/productos/bandeja-portacables-perforada-ct3112.webp,47712
bandeja-portacables,seccion-C,-,3. BANDEJAS JPG/_renombradas/seccion-bandeja-tipo-C.jpg,/images/productos/bandeja-portacables-seccion-c.webp,4222
bandeja-portacables,seccion-U,-,3. BANDEJAS JPG/_renombradas/seccion-bandeja-tipo-U.jpg,/images/productos/bandeja-portacables-seccion-u.webp,4180
bandeja-portacables,tapa,CT3211,3. BANDEJAS JPG/CT3211-A.jpg,/images/productos/bandeja-portacables-tapa.webp,18754
curva-de-descarga,primaria,CT3128,3. BANDEJAS JPG/_renombradas/REVISAR_CT3128-curva-descarga.jpg,/images/productos/curva-de-descarga.webp,18712
curva-de-descarga,tapa,CT3228,3. BANDEJAS JPG/CT3228.jpg,/images/productos/curva-de-descarga-tapa.webp,9902
curva-horizontal-45,primaria,CT3126,3. BANDEJAS JPG/LISTA FALTANTES/CT3126.PNG,/images/productos/curva-horizontal-45.webp,19682
curva-horizontal-90,primaria,CT3114,3. BANDEJAS JPG/CT3114.jpg,/images/productos/curva-horizontal-90.webp,30162
curva-horizontal-90,tapa,CT3214,3. BANDEJAS JPG/CT3214.jpg,/images/productos/curva-horizontal-90-tapa.webp,13014
curva-horizontal-recta-90,primaria,CT3117,3. BANDEJAS JPG/LISTA FALTANTES/CT3117.PNG,/images/productos/curva-horizontal-recta-90.webp,23794
curva-vertical-externa-45,primaria,CT3122,3. BANDEJAS JPG/LISTA FALTANTES/CT3122.PNG,/images/productos/curva-vertical-externa-45.webp,20112
curva-vertical-externa-90,primaria,CT3118,3. BANDEJAS JPG/CT3118.jpg,/images/productos/curva-vertical-externa-90.webp,20532
curva-vertical-externa-90,tapa,CT3218,3. BANDEJAS JPG/CT3218-ancho.jpg,/images/productos/curva-vertical-externa-90-tapa.webp,15520
curva-vertical-interna-45,primaria,CT3124,3. BANDEJAS JPG/LISTA FALTANTES/CT3124.PNG,/images/productos/curva-vertical-interna-45.webp,18534
curva-vertical-interna-90,primaria,CT3120,3. BANDEJAS JPG/CT3120.jpg,/images/productos/curva-vertical-interna-90.webp,23160
curva-vertical-interna-90,tapa,CT3220,3. BANDEJAS JPG/ct3220-ancho.jpg,/images/productos/curva-vertical-interna-90-tapa.webp,14532
desnivel-simple,primaria,CT3145,3. BANDEJAS JPG/LISTA FALTANTES/CT3145.PNG,/images/productos/desnivel-simple.webp,20084
desvio-horizontal-derecho,primaria,CT3147,3. BANDEJAS JPG/LISTA FALTANTES/CT3147.PNG,/images/productos/desvio-horizontal-derecho.webp,20506
desvio-horizontal-izquierdo,primaria,CT3149,3. BANDEJAS JPG/LISTA FALTANTES/CT3149.PNG,/images/productos/desvio-horizontal-izquierdo.webp,18120
final-de-tramo,primaria,CT3061,3. BANDEJAS JPG/LISTA FALTANTES/CT3061.PNG,/images/productos/final-de-tramo.webp,10520
final-de-tramo-descarga,primaria,CT3060,3. BANDEJAS JPG/LISTA FALTANTES/CT3060.PNG,/images/productos/final-de-tramo-descarga.webp,16154
kit-de-uniones,primaria,KIT3062,3. BANDEJAS JPG/_renombradas/KIT3062-50.jpg,/images/productos/kit-de-uniones.webp,20700
